twin_id,name,tenant_id,created_at,source_count,source_chunks_total,memory_count,qna_count,interview_sessions_count,interview_memories_extracted_total,pinecone_vector_count,pinecone_namespace_exists
5dd06bcb-9afa-4174-a9bf-308dcf4108c3,Sham (archived 2026-02-08),398260f6-e7fd-4a8e-a8ea-32cce50474ce,2026-02-08T15:05:03.055206+00:00,1,24,3,0,0,0,24,True
5698a809-87a5-4169-ab9b-c4a6222ae2dd,Proof Twin 095126-c652e,4d0977d0-412a-49bb-a4f2-bc5a26f8ca6e,2026-02-08T09:51:28.127843+00:00,2,68,0,0,0,0,68,True
9fc7616b-08a4-40e7-93ab-6c5fe7eb390e,Sai,398260f6-e7fd-4a8e-a8ea-32cce50474ce,2026-02-08T08:23:17.960957+00:00,0,0,3,0,4,0,0,False
14ae7b8d-6321-4ca6-8d72-abc106fb1b18,Sham,80ba0b74-656c-4440-8e9b-7d1c9185ccf2,2026-02-07T03:09:02.923388+00:00,4,24,0,0,4,0,24,True
1dcd2084-08ea-4612-a23c-df0cc619dd5a,Sham,72ebebeb-5591-4b64-8a0a-5e3a02836d85,2026-02-06T20:13:34.501209+00:00,1,24,0,0,0,0,24,True
11bc44bf-e1af-49f8-bed5-366b8234506b,Sham,72ebebeb-5591-4b64-8a0a-5e3a02836d85,2026-02-06T20:13:33.490822+00:00,0,0,0,0,0,0,0,False
c3cd4ad0-d4cc-4e82-a020-82b48de72d42,Sham,398260f6-e7fd-4a8e-a8ea-32cce50474ce,2026-02-05T03:11:20.767107+00:00,1,24,12,0,1,0,24,True
003eb646-362e-4dad-a116-f478ea620b19,Critical Path Proof Twin 1770201157,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T10:32:39.705369+00:00,4,4,0,0,0,0,4,True
8837c300-826d-4504-a6f2-49e1e1ae0678,Critical Path Proof Twin 1770200401,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T10:20:03.707916+00:00,2,2,0,0,0,0,2,True
4e88fc8c-3a87-46a7-9f54-0c154a4aa2b3,Critical Path Proof Twin 1770200283,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T10:18:05.695345+00:00,2,2,0,0,0,0,2,True
28b274b7-1767-4e9b-ad53-d0b1e78a9ce3,Critical Path Proof Twin 1770198157,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T09:42:39.574947+00:00,2,2,0,0,0,0,2,True
29d09184-66c6-4c31-80ce-c6094b2f9ad7,Critical Path Proof Twin 1770197836,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T09:37:18.137056+00:00,2,2,0,0,0,0,2,True
8b2b762e-9bb0-48a8-a627-b57e7b64da53,Critical Path Proof Twin 1770197538,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T09:32:20.117317+00:00,2,2,0,0,0,0,2,True
01ec5006-abd6-487a-b5aa-e032ea7c3a3b,Critical Path Proof Twin 1770197322,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T09:28:44.315899+00:00,2,2,0,0,0,0,2,True
36a9cda4-a5ad-40c5-8e45-2c62b18c8089,Critical Path Proof Twin 1770196785,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T09:19:47.397721+00:00,2,2,0,0,0,0,2,True
bf022dc6-6800-4ed5-8195-10808b2a8b7e,Critical Path Proof Twin 1770196527,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T09:15:29.017428+00:00,2,2,0,0,0,0,2,True
94bb567d-cdd3-4e8c-93c9-337c88bc5100,Critical Path Proof Twin 1770196147,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T09:09:10.7508+00:00,2,2,0,0,0,0,2,True
1d24803a-36fc-4e3f-9e51-9b55ccf54137,UI Proof Twin 1770179511340,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T04:31:52.740529+00:00,0,0,2,0,0,0,0,False
0ba11e71-990d-4b79-83f3-ff3ff7c00df2,UI Proof Twin 1770179337159,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T04:28:58.550559+00:00,0,0,1,0,0,0,0,False
69720946-0f5d-4558-8c29-2fefdaff33b5,UI Proof Twin 1770179086399,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T04:24:47.755869+00:00,0,0,1,0,0,0,0,False
22b039dc-0ef0-4b43-93d5-7e172ab6f72b,UI Proof Twin 1770178789637,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T04:19:51.117892+00:00,0,0,1,0,0,0,0,False
172750be-a5aa-4d71-aac2-ab8d311e1bef,UI Proof Twin 1770178372812,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T04:12:54.233536+00:00,0,0,1,0,0,0,0,False
ab915813-219b-425b-80fc-1d56276aaaa1,UI Proof Twin 1770178030608,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T04:07:12.00828+00:00,0,0,1,0,0,0,0,False
ac2e05b7-5cff-4592-bc78-4f63f7718532,UI Proof Twin 1770177722572,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T04:02:04.053921+00:00,0,0,1,0,0,0,0,False
54b433fa-1cb6-4b5d-9619-b0defe9282f0,UI Proof Twin Manual 1770176951646,c50afe83-643f-47e1-afcf-a643d86f943f,2026-02-04T03:49:13.199752+00:00,0,0,1,0,0,0,0,False
7066dc02-0a96-4167-acde-9e367e86bea2,UI Proof Twin 1770176785783,d04f186f-d843-45a3-a017-07a5cbc593b0,2026-02-04T03:46:28.783982+00:00,0,0,0,0,0,0,0,False
6e5855c8-da56-4d8a-b806-4004d2923a24,Simulator E2E Twin B,d04f186f-d843-45a3-a017-07a5cbc593b0,2026-02-03T22:13:36.647326+00:00,0,0,11,0,0,0,0,False
d367d669-03cf-4ab8-b34a-90e1ed8fc88c,Simulator E2E Twin,d04f186f-d843-45a3-a017-07a5cbc593b0,2026-02-03T21:40:08.421999+00:00,0,0,0,0,0,0,0,False
6b984afc-650f-4afc-b4c0-8238d0ad6b7b,Simulator E2E Twin,d04f186f-d843-45a3-a017-07a5cbc593b0,2026-02-03T21:04:21.825185+00:00,0,0,0,0,0,0,0,False
6bb1cda3-8e02-4c0f-80d9-388d3eb359b8,Sync QA Twin,cbb9a5fe-2c07-4628-91dd-70137bda8b54,2026-02-03T18:48:41.322338+00:00,0,0,0,0,0,0,0,False
ad1eeace-26d1-4eff-9560-39643832d0f2,YOYO,0d85c61a-c8c9-4646-8a7b-182b884eec83,2026-02-03T18:11:51.612943+00:00,1,47,0,0,0,0,47,True
f8c957a4-f58c-46eb-b1e1-9b3c94a3fe46,sai,fa7ddf26-9f52-403a-bac8-be2d206482f6,2026-02-03T18:10:37.000981+00:00,0,0,0,0,0,0,0,False
5fbd2d66-2026-4241-8f70-ec03882246a3,sai,fa7ddf26-9f52-403a-bac8-be2d206482f6,2026-02-03T18:10:36.737382+00:00,0,0,0,0,0,0,0,False
dd7c3fc1-f741-4bc0-9020-19edbb014d7e,sai,fa7ddf26-9f52-403a-bac8-be2d206482f6,2026-02-03T18:10:36.444104+00:00,0,0,0,0,0,0,0,False
aa8d3e9d-1c8d-4f7a-b826-e0da65df1af1,sai,fa7ddf26-9f52-403a-bac8-be2d206482f6,2026-02-03T18:10:35.168006+00:00,0,0,0,0,0,0,0,False
1babb2b5-d766-470a-a462-34129b3d8596,sai,fa7ddf26-9f52-403a-bac8-be2d206482f6,2026-02-03T18:10:33.511015+00:00,0,0,0,0,0,0,0,False
d2f67c14-a881-4199-80f2-41faa2f19266,sai,fa7ddf26-9f52-403a-bac8-be2d206482f6,2026-02-03T18:10:33.225324+00:00,0,0,0,0,0,0,0,False
e882a0f7-1d40-412b-9b7d-74fb10db7cfb,QA Export Twin,fd97d570-10f1-4376-b71f-febba2becdd8,2026-02-03T18:04:28.89061+00:00,1,1,0,0,0,0,0,False
63a6aeb9-51d7-4a63-aeb6-c97bda11c038,QA Export Twin,05630fda-d076-4707-beda-087e24be9a4b,2026-02-03T18:02:01.223618+00:00,2,2,0,0,0,0,1,True
faa947ca-653c-4b20-8665-0d16b1d6ab70,QA Hard Delete Twin,41a44dd5-7ffe-486d-8e0c-6e63948081bd,2026-02-03T18:00:16.395435+00:00,0,0,0,0,0,0,0,False
58581d82-7589-456d-a77a-d585e9e849e5,QA Export Twin,41a44dd5-7ffe-486d-8e0c-6e63948081bd,2026-02-03T18:00:16.283906+00:00,1,1,0,0,0,0,0,False
5c1de68a-e51b-4025-8833-05491782e36d,QA Hard Delete Twin,c5427426-f2f6-4d24-8074-0e450f0c0ce4,2026-02-03T17:57:52.524194+00:00,0,0,0,0,0,0,0,False
8b05a4f7-8ad8-4197-b3da-154bb15dd749,QA Export Twin,c5427426-f2f6-4d24-8074-0e450f0c0ce4,2026-02-03T17:57:52.390625+00:00,1,1,0,0,0,0,0,False
40451561-a38c-4c60-8e6a-b87cd0445b1d,QA Export Twin,d04f186f-d843-45a3-a017-07a5cbc593b0,2026-02-03T15:53:01.326638+00:00,1,1,0,0,0,0,0,False
e874f362-88fb-461c-be45-0c142bfc84d9,Export Twin,31b5bccd-55e7-436d-a47b-b73bbe5bc922,2026-02-03T10:06:56.561167+00:00,1,1,0,0,0,0,0,False
aa25fee9-fd4e-4505-b48f-5040a5e81b5f,Export Twin,e77938df-53ce-49ef-b3f5-defe717b900d,2026-02-03T09:54:40.436306+00:00,1,1,0,0,0,0,0,False
18247f87-2b22-4e59-b3c0-d56c7178235d,Export Twin,c93c7bf6-7163-4c5a-8ebb-e185cb4e2e13,2026-02-03T09:50:08.084811+00:00,1,1,0,0,0,0,0,False
735e69ef-e5b9-46a4-9972-716cb11db277,Export Twin,159738e2-0426-439f-89da-674e3661e6d5,2026-02-03T09:44:53.093852+00:00,1,1,0,0,0,0,0,False
69594ab1-8172-4d72-bf4b-939170ce93b6,Hard Delete Twin,352c4c89-49cf-46c7-bad1-debd74a3d7e5,2026-02-03T09:43:59.29089+00:00,0,0,0,0,0,0,0,False
a9459df0-2f54-480a-a4fc-479e7b74bf6e,Export Twin,352c4c89-49cf-46c7-bad1-debd74a3d7e5,2026-02-03T09:43:59.194735+00:00,1,1,0,0,0,0,0,False
c85e1cb9-b380-47b5-9fde-a8df3ab23a5b,Hard Delete Twin,fc946517-5499-45db-acc8-f03891fff35d,2026-02-03T09:43:05.16567+00:00,0,0,0,0,0,0,0,False
72b17f8d-e2fd-4144-888f-8bb3709150bf,Export Twin,fc946517-5499-45db-acc8-f03891fff35d,2026-02-03T09:43:05.041569+00:00,1,1,0,0,0,0,0,False
79f6c8ba-4cf4-4cba-a859-e8df78ec71f1,Hard Delete Twin,726818da-d628-4b43-8e34-8a184f76968a,2026-02-03T09:27:44.324069+00:00,0,0,0,0,0,0,0,False
09591abf-c451-4855-9322-15efdfe1ddfe,Export Twin,726818da-d628-4b43-8e34-8a184f76968a,2026-02-03T09:27:44.224754+00:00,1,0,0,0,0,0,0,False
34276d59-a14c-428b-b717-9c9e3d7f9798,Export Twin,f38ff338-3846-4a4d-a074-ca0b5fe9a42a,2026-02-03T09:18:59.266866+00:00,1,0,0,0,0,0,0,False
c9fa1e61-8214-4bd9-9c67-9cf3f332a4c2,Export Twin,7de918ab-1396-4182-ab59-ba2ae98eb011,2026-02-03T09:15:01.27664+00:00,1,0,0,0,0,0,0,False
647acb76-5b5b-42fd-88b9-75f6ac798a86,Export Twin,e609b6d5-9b45-4fbe-ac22-863ea3cb1af8,2026-02-03T09:05:24.548917+00:00,1,0,0,0,0,0,0,False
526727ae-9a9d-4b13-b9dd-e4397919a0a3,Export Twin,3ecc1360-0300-4002-a65c-d7acf5ba31cb,2026-02-03T09:01:30.77065+00:00,1,0,0,0,0,0,0,False
2b816b71-3a63-42d7-a1e7-570f261c951f,Export Twin,be180df3-27f5-42b6-be26-410aae9afbf6,2026-02-03T08:55:34.992222+00:00,1,0,0,0,0,0,0,False
2a668af1-fc3d-44a2-8026-f8772e1a5aa4,Hard Delete Twin,e1e62c11-a687-4faa-95bb-fd0804a5714b,2026-02-03T08:54:33.050172+00:00,0,0,0,0,0,0,0,False
55a2a7e1-fb24-416f-ab21-5517651090e2,Export Twin,e1e62c11-a687-4faa-95bb-fd0804a5714b,2026-02-03T08:54:32.919861+00:00,1,0,0,0,0,0,0,False
ba983bbe-38b9-466c-b9ae-491ac5c706d0,Export Twin,35c03c27-129c-44b7-a480-2b876a911b4f,2026-02-03T08:49:29.647127+00:00,1,0,0,0,0,0,0,False
287f91a7-7f19-43ce-9863-b9a001b06d12,Test Twin,0a9eb74c-c352-4ff1-9222-17fb6a4cc98b,2026-02-03T08:07:02.514614+00:00,1,0,0,0,0,0,0,False
e9c18ffa-ec7b-4f30-ab97-1beccd9fab4a,Sai,a17b3b11-d298-426b-a4b8-b1b177a93f81,2026-01-29T21:20:28.081108+00:00,0,0,0,0,0,0,0,False
07be896a-5c30-4513-8dd4-c62c07ce806a,Sai,a17b3b11-d298-426b-a4b8-b1b177a93f81,2026-01-29T21:20:27.510759+00:00,0,0,0,0,0,0,0,False
5134ece5-373e-4f08-bfe3-d07a7dea3de7,Sai,a17b3b11-d298-426b-a4b8-b1b177a93f81,2026-01-29T21:20:27.224541+00:00,0,0,0,0,0,0,0,False
e1b5469b-4f7c-496b-9709-044ea26efae1,Sai,a17b3b11-d298-426b-a4b8-b1b177a93f81,2026-01-29T21:20:26.899565+00:00,0,0,0,0,0,0,0,False
b1134635-58ba-463c-ae05-ebb700de1960,Sai,a17b3b11-d298-426b-a4b8-b1b177a93f81,2026-01-29T21:20:26.568531+00:00,0,0,0,0,0,0,0,False
55eedd9a-a8da-435a-8d05-a34248b47d83,Sai,a17b3b11-d298-426b-a4b8-b1b177a93f81,2026-01-29T21:20:26.272133+00:00,0,0,0,0,0,0,0,False
947aad31-f023-4ab8-83d7-8faa65bb6b45,Sai,a17b3b11-d298-426b-a4b8-b1b177a93f81,2026-01-29T21:20:25.894532+00:00,0,0,0,0,0,0,0,False
ec36dd66-e619-4ac9-9940-9797d635fba7,Sai,a17b3b11-d298-426b-a4b8-b1b177a93f81,2026-01-29T21:20:25.591542+00:00,0,0,0,0,0,0,0,False
6aafc563-bbb8-484e-83ad-8076c25600ca,Sai,a17b3b11-d298-426b-a4b8-b1b177a93f81,2026-01-29T21:20:25.286046+00:00,0,0,0,0,0,0,0,False
784686fa-ce23-42ce-b239-a7fc6b72fd73,Sai,a17b3b11-d298-426b-a4b8-b1b177a93f81,2026-01-29T21:20:24.928417+00:00,0,0,0,0,0,0,0,False
71ecbf9c-0b79-46d1-ad32-b439667017f5,sai,a17b3b11-d298-426b-a4b8-b1b177a93f81,2026-01-28T21:53:31.516782+00:00,0,0,0,0,0,0,0,False
00146890-ead4-4d3e-a5fc-a4c74dabc6ac,sai,a17b3b11-d298-426b-a4b8-b1b177a93f81,2026-01-28T21:53:30.466767+00:00,0,0,0,0,0,0,0,False
3efb75c7-b959-4a3e-9158-9bdd3cc25b7d,YoYo,a17b3b11-d298-426b-a4b8-b1b177a93f81,2026-01-28T01:54:08.989863+00:00,0,0,0,0,0,0,0,False
53da5e33-efeb-441d-822e-a142f71b5dea,Sainath,a17b3b11-d298-426b-a4b8-b1b177a93f81,2026-01-28T01:54:08.081153+00:00,0,0,0,0,0,0,0,False
17a4d433-1d9a-4546-959d-8aee0c02da07,Sainath,a17b3b11-d298-426b-a4b8-b1b177a93f81,2026-01-28T01:54:07.563817+00:00,0,0,0,0,3,0,0,False
9401b039-d6f0-461e-bade-c883e827bf39,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2026-01-27T05:30:40.532268+00:00,0,0,0,0,0,0,0,False
6622294e-86ba-40fd-ac8b-6811d0b79538,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2026-01-27T05:30:36.459344+00:00,0,0,0,0,0,0,0,False
0359b5d3-48e5-4166-bcb0-062903ecd187,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2026-01-27T01:38:34.060613+00:00,0,0,0,0,0,0,0,False
40b38c26-2a21-407c-8a60-1475d1dc1240,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2026-01-26T16:36:17.468192+00:00,0,0,0,0,0,0,0,False
01b20f6d-26e1-405a-8f59-ce980ab52906,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2026-01-26T16:36:14.26061+00:00,0,0,0,0,0,0,0,False
3c7156e8-4143-4406-9dfa-ec1cd20e1332,Sai,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2026-01-26T03:09:12.374171+00:00,0,0,0,0,0,0,0,False
67cd44e6-8d93-45aa-96e6-2a8bedcad200,Sainath,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2026-01-20T22:35:32.803016+00:00,1,0,0,0,0,0,0,False
19aea925-aba7-4cf8-9333-218ede6cafd7,My Twin,ecbc8fe6-ddd1-4aa5-9017-91856f24d3d1,2026-01-11T18:07:51.87065+00:00,1,0,0,0,0,0,0,False
d080d547-5aac-4a92-91b2-6d3ff728af4c,Founder Twin,ecbc8fe6-ddd1-4aa5-9017-91856f24d3d1,2026-01-11T15:19:13.6909+00:00,1,73,0,0,7,0,73,True
b4119968-4bec-46b2-86b3-c6f571f5c0ed,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-25T00:07:34.420416+00:00,0,0,0,0,0,0,0,False
61e5e6df-f51c-4985-9ef0-95b0bddd5258,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:31:53.136686+00:00,8,0,0,0,0,0,17,True
a4d4f43c-9bfd-4a11-83f4-36640a6a1d88,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:31:28.146684+00:00,0,0,0,0,0,0,0,False
436484f2-97ff-4070-bfc2-abe111d15fa9,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:31:26.02388+00:00,0,0,0,0,0,0,0,False
6118cb8a-016b-444d-ad84-2cab0a8310f8,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:29:08.488645+00:00,2,0,0,0,0,0,2,True
1ad62bf2-0d1f-4d18-9452-9ebdd6caf655,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:29:06.674601+00:00,0,0,0,0,0,0,0,False
962370a3-b240-4767-974f-c0033c986966,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:29:03.95633+00:00,0,0,0,0,0,0,0,False
7cf80192-0771-481c-b0f1-2dfe7b0eeb93,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:26:29.230118+00:00,0,0,0,0,0,0,0,False
971c8f16-fbb4-4d04-8fb1-dd9dd4cb21cd,My Digital Twin,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T23:26:27.116995+00:00,0,0,0,0,0,0,0,False
4d240cdb-3c96-45c8-8f1c-2b7166f51f52,saivc,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T00:55:20.129665+00:00,1,0,0,0,0,0,0,False
f3051d50-7cc1-4b7b-a2cd-ea93e20a1048,saivc,55b4c2be-c0d3-4c72-b9e7-f65c2c6bb6fb,2025-12-24T00:55:19.866088+00:00,2,0,0,0,0,0,0,False
1e5866f7-7187-4020-bf93-3500564e02ba,Test Twin,33109209-6fd7-4eb1-bb90-dba7a7b02f56,2025-12-18T09:00:41.185893+00:00,3,0,0,0,0,0,2,True
eeeed554-9180-4229-a9af-0f8dd2c69e9b,Sai,986f270e-2d5c-4f88-ad88-7d2a15ea8ab1,2025-12-18T05:32:46.250111+00:00,3,79,0,8,0,0,87,True
